NPDES # CA#,ORDER #,WDID,FACILITY NAME,population_cwns,population_cwns_2042,population_sso,epaid,population_covid,source,Population Served,population_growth_rate
CA0059501,R4-2020-0078,4A560106003,Camrosa Water Reclamation Facility,496,452,,,,CWNS,496,-0.46
CA0056227,R4-2022-0341,4B190106004,Donald C. Tillman WWRP,75026,95827,,,,CWNS,75026,1.23
CA0056294,R4-2019-0137,4A560112001,Hill Canyon WWTP,11008,12236,,,,CWNS,11008,0.53
CA0109991,R4-2023-0033,4B190106002,Hyperion WWTP,62019,74458,,CA0109991,4000000,CWNS+COVID,62019,0.92
CA0054119,R4-2022-0032,4B190107014,Long Beach WRP,,,4757320,,,SSO,4757320,
CA0053953,R4-2022-0343,4B190106001,Los Angeles-Glendale WWRP,58713,61152,,,,CWNS,58713,0.2
CA0054011,R4-2021-0142,4B190107015,Los Coyotes WRP,3353576,3632460,,,,CWNS,3353576,0.4
CA0059099,R4-2021-0062,4B190107048,Malibu Mesa WRP,3420,3620,4050,,,CWNS+SSO,3420,0.28
,,,Moorpark WRF - WRR,99473,99473,,,,CWNS,99473,0
CA0064556,R4-2019-0077,4A190118001,Newhall Ranch WRP,62737,74667,,,,CWNS,62737,0.87
CA0053961,R4-2023-0430,4A560104001,Ojai Valley WWTP,,,,,,No data,,
CA0054097,R4-2018-0140,4A560105001,Oxnard WWTP,919987,919987,,CA0054097,250000,CWNS+COVID,919987,0
CA0053619,R4-2021-0097,4B190107019,Pomona Water Reclamation Plant,117000,117900,,,,CWNS,117000,0.04
CA0053911,R4-2021-0131,4B190107020,San Jose Creek Water Reclamation Plant,2800773,2799860,,,,CWNS,2800773,0
CA0054313,R4-2022-0175,4A190107021,Saugus Water Reclamation Plant,189973,209563,274729,,,CWNS+SSO,189973,0.49
CA0055221,R4-2019-0135,4A560110001,Simi Valley WQCP,213774,228264,,,,CWNS,213774,0.33
CA0056014,R4-2017-0124,4B190104001,Tapia WRF,44449,54000,,CA0056014,75000,CWNS+COVID,44449,0.98
CA0053856,R4-2021-0095,4B190106005,Terminal Island Water Reclamation Plant,523851,582847,,,,CWNS,523851,0.54
CA0054216,R4-2022-0174,4A190107023,Valencia WRP,,,4,,,SSO,4,
CA0053651,R4-2020-0024,4A560107001,Ventura WRF,,,,,,No data,,
CA0053716,R4-2021-0096,4B190107016,Whittier Narrows Water Reclamation Plant,,,,,,No data,,
CA0078981,R5-2016-0049,5A320103001,American Valley WWTP,20700,22376,,CA0078981,4217,CWNS+COVID,20700,0.39
CA0077704,R5-2019-0068,5A450100001,Anderson WPCP,212912,379825,,,,CWNS,212912,2.94
CA0085201,R5-2022-0038,5B05NP00007,Angels City WWTP,311175,330806,,,,CWNS,311175,0.31
CAC422026,R5-2023-0025,5B24NP00017,Atwater Regional WWTF,,,31250,,,SSO,31250,
CAC422026,R5-2023-0025,5B24NP00017,Atwater WWTF Mun WW Disch that Meet Obj/Criteria at the Point of Discharge,936523,1001161,31250,,,CWNS+SSO,936523,0.33
CAC448871,R5-2023-0025,5A31NP00042,Auburn WWTP,49393,53769,,,,CWNS,49393,0.43
CA0079588,R5-2019-0016,5A480104001,Beach Wastewater Treatment Facility,114190,118112,,,,CWNS,114190,0.17
CA0081213,R5-2015-0011,5D152037001,Bear Valley CSD WWTP,74314,74314,,,,CWNS,74314,0
CA0085146,R5-2022-0037,5B02NP00001,Bear Valley WWTF,123833,123833,,,,CWNS,123833,0
,,,Big Creek Powerhouse No 1 WWTF,168637,178676,,,,CWNS,168637,0.29
CA0082660,R5-2019-0029,5B070101001,Brentwood WWTP,102082,108000,66097,,,CWNS+SSO,102082,0.28
CA0083241,R5-2023-0025,5A290107002,Cascade Shores WWTP,297390,307487,,,,CWNS,297390,0.17
CA0077747,R5-2021-0022,5A320100001,Chester STP,3819,3578,,,,CWNS,3819,-0.33
CA0079081,R5-2022-0033,5A040102001,Chico Water Pollution Control Plant,10247,13050,93293,CA0079081,101299,CWNS+SSO+COVID,10247,1.22
CAC455418,R5-2023-0025,5A310101001,City of Colfax WWTP,4899,4559,2052,,,CWNS+SSO,4899,-0.36
CA0078999,R5-2022-0020,5A060101001,City of Colusa WWTP,5490,5679,,,,CWNS,5490,0.17
CA0004995,R5-2022-0022,5A520100001,City of Corning WWTP,441,475,,,,CWNS,441,0.37
CA0079049,R5-2018-0086,5A570100001,City of Davis WWTP,5490,5679,,CA0079049,70717,CWNS+COVID,5490,0.17
CAC455508,R5-2023-0025,5B030103001,City of Jackson WWTP,9630,15810,4700,,,CWNS+SSO,9630,2.51
CA0085359,R5-2022-0004,5B39NP00085,City of Lathrop Consolidated Treatment Facility,109,127,,,,CWNS,109,0.77
CA0081558,R5-2021-0003,5B390104001,City of Manteca WW Quality Control Facility,441,475,,CA0081558,83498,CWNS+COVID,441,0.37
CAC448536,R5-2023-0025,5C500102001,City of Modesto WQCF,9630,15810,,,,CWNS,9630,2.51
