FACILITY ID,FACILITY NAME,REGION,PROGRAM CATEGORY,ASSIGNED CATEGORY,COMMUNITY TYPE,FEDERAL FACILITY,NPDES ASSESSMENT,WDR ASSESSMENT,CS ASSESSMENT,wdid,npdes_permit_number,order_number,pop_cwns,pop_cwns_2042,pop_sso_csv,pop_covid,pop_served_csv,pop_source_csv,pop_growth_rate,wdid_sso,pop_served_via_rwb,pop_final,pop_final_source,pop_final_rwb_preferred,pop_final_rwb_preferred_source
272790,"Windsor Wastewater Treatment, Reclamation, and Disposal Facility",1,NPDESWW,i,COMMUNITY,FALSE,Yes,No,No,1B82037OSON,CA0023345,R1-2020-0010,24793,23963,NA,28000,24793,CWNS+COVID,-0.17,NA,NA,24793,pop_cwns,24793,pop_cwns
630338,Arcata City CS,1,SSO,i,COMMUNITY,FALSE,No,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1SSO10001,19114,19114,pop_served_via_rwb,19114,pop_served_via_rwb
778055,Blue Lake City CS,1,SSO,i,COMMUNITY,FALSE,No,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1SSO11752,1208,1208,pop_served_via_rwb,1208,pop_served_via_rwb
630340,Bodega Bay CS,1,SSO,i,COMMUNITY,FALSE,No,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1SSO10003,1139,1139,pop_served_via_rwb,1139,pop_served_via_rwb
645131,Brooktrails Township CS,1,SSO,i,COMMUNITY,FALSE,No,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1SSO11441,3047,3047,pop_served_via_rwb,3047,pop_served_via_rwb
210543,Brooktrails Township CSD,1,SSO,i,COMMUNITY,FALSE,No,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
630482,CSU Sonoma CS,1,SSO,i,COMMUNITY,FALSE,No,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1SSO10069,10000,10000,pop_served_via_rwb,10000,pop_served_via_rwb
630341,Calpella CA WD CS,1,SSO,i,COMMUNITY,FALSE,No,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1SSO10004,450,450,pop_served_via_rwb,450,pop_served_via_rwb
711750,City of Tulelake CS,1,SSO,i,COMMUNITY,FALSE,No,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1SSO11603,1000,1000,pop_served_via_rwb,1000,pop_served_via_rwb
630385,Cloverdale City CS,1,SSO,i,COMMUNITY,FALSE,No,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1SSO10019,8700,8700,pop_served_via_rwb,8700,pop_served_via_rwb
630372,Cotati City CS,1,SSO,i,COMMUNITY,FALSE,No,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1SSO10012,7535,7535,pop_served_via_rwb,7535,pop_served_via_rwb
630387,Covelo City CS,1,SSO,i,COMMUNITY,FALSE,No,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1SSO10021,425,425,pop_served_via_rwb,425,pop_served_via_rwb
630388,Crescent City CS,1,SSO,i,COMMUNITY,FALSE,No,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1SSO10022,5500,5500,pop_served_via_rwb,5500,pop_served_via_rwb
630389,Del Norte County CSA CS,1,SSO,i,COMMUNITY,FALSE,No,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1SSO10023,9250,9250,pop_served_via_rwb,9250,pop_served_via_rwb
630390,Dorris City CS,1,SSO,i,COMMUNITY,FALSE,No,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1SSO10024,938,938,pop_served_via_rwb,938,pop_served_via_rwb
630392,Etna CS,1,SSO,i,COMMUNITY,FALSE,No,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1SSO10025,765,765,pop_served_via_rwb,765,pop_served_via_rwb
630378,Eureka City CS,1,SSO,i,COMMUNITY,FALSE,No,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1SSO10014,50000,50000,pop_served_via_rwb,50000,pop_served_via_rwb
630393,Eureka City Elk River CS,1,SSO,i,COMMUNITY,FALSE,No,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
